Designator,Mid X,Mid Y,Rotation,Layer
C1,143.145,-113.055,180.0,bottom
C10,128.135,-121.82,180.0,bottom
C11,113.155,-121.655,180.0,bottom
C12,113.145,-116.985,180.0,bottom
C13,142.895,-130.375,180.0,bottom
C14,128.135,-130.465,180.0,bottom
C15,113.145,-130.385,180.0,bottom
C16,113.065,-125.735,180.0,bottom
C17,142.955,-138.815,180.0,bottom
C18,128.075,-138.83,180.0,bottom
C19,113.065,-138.805,180.0,bottom
C2,158.415,-137.165,90.0,top
C20,113.105,-134.205,180.0,bottom
C21,143.025,-147.285,180.0,bottom
C22,127.975,-147.425,180.0,bottom
C23,113.085,-147.145,180.0,bottom
C24,113.215,-142.605,180.0,bottom
C25,143.107,-110.747,180.0,bottom
C26,167.285,-127.999,270.0,top
C27,170.077,-111.077,90.0,top
C28,127.867,-110.699,180.0,bottom
C29,104.499,-113.191,0.0,bottom
C3,163.405,-144.775,0.0,top
C30,104.797,-108.345,0.0,bottom
C31,143.045,-119.145,180.0,bottom
C32,128.059,-119.383,180.0,bottom
C33,104.605,-116.885,0.0,bottom
C34,104.691,-121.319,0.0,bottom
C35,142.791,-127.875,180.0,bottom
C36,128.059,-128.081,180.0,bottom
C37,104.629,-130.305,0.0,bottom
C38,104.667,-125.521,0.0,bottom
C39,104.413,-133.951,0.0,bottom
C4,127.995,-113.235,180.0,bottom
C40,104.667,-138.825,0.0,bottom
C41,127.997,-136.463,180.0,bottom
C42,142.921,-136.401,180.0,bottom
C43,104.475,-142.539,0.0,bottom
C44,104.475,-147.159,0.0,bottom
C45,127.935,-144.893,180.0,bottom
C46,143.075,-144.859,180.0,bottom
C47,156.025,-103.0,180.0,top
C48,149.5,-103.0,180.0,top
C49,143.0,-103.0,180.0,top
C5,113.175,-113.105,180.0,bottom
C6,161.349,-120.163,180.0,top
C7,113.145,-108.395,180.0,bottom
C8,161.429,-120.103,180.0,bottom
C9,143.015,-121.765,180.0,bottom
D1,167.34,-124.221,90.0,bottom
D2,167.619,-111.725,270.0,bottom
D4,175.25,-146.6,270.0,top
J1,153.05,-152.6,90.0,bottom
J2,183.3375,-112.395,0.0,top
J3,183.3375,-128.205,0.0,top
J4,181.47,-140.8336,0.0,bottom
J5,131.399,-104.135,180.0,bottom
J6,176.203,-106.213,270.0,top
J7,173.0,-141.05,180.0,top
J8,136.75,-104.0,180.0,top
K1,152.205,-110.585,270.0,top
K2,163.385,-105.525,270.0,top
K3,152.155,-119.3275,270.0,top
K4,152.155,-127.94,270.0,top
K5,152.095,-136.2725,270.0,top
K6,152.105,-144.835,270.0,top
L1,138.945,-110.705,0.0,top
L10,138.815,-136.55775,0.0,top
L11,123.935,-136.61025,0.0,top
L12,108.975,-136.60275,0.0,top
L13,138.825,-145.154,0.0,top
L14,123.945,-145.214,0.0,top
L15,108.985,-145.214,0.0,top
L16,173.075,-129.845,90.0,top
L17,172.985,-117.615,0.0,top
L18,152.75,-103.0,0.0,top
L19,146.2125,-103.0,180.0,top
L2,123.985,-110.705,0.0,top
L3,109.105,-110.705,0.0,top
L4,138.875,-119.29125,0.0,top
L5,123.995,-119.32875,0.0,top
L6,109.035,-119.30625,0.0,top
L7,138.875,-127.9375,0.0,top
L8,123.995,-127.9825,0.0,top
L9,109.035,-127.9675,0.0,top
R1,160.255,-144.773,180.0,top
R10,165.75,-136.325,270.0,top
R2,167.285,-131.173,270.0,top
R3,166.023,-141.754,270.0,top
R4,166.785,-139.255,180.0,top
R5,170.143,-121.481,270.0,bottom
R6,170.205,-114.615,180.0,bottom
R7,167.771,-111.839,180.0,top
R8,160.255,-146.902,180.0,top
R9,166.825,-144.5,0.0,top
U1,162.255,-142.175,90.0,top
U2,162.225,-137.375,180.0,top
U3,162.355,-128.385,90.0,top
